Obs_id,Obs_date,subject,behavior,modifiers,type,start,stop
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2685.001,2685.848
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2686.948,2687.816
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2689.592,2689.785
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2698.993,2699.598
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2702.531,2704.27
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2704.67,2705.233
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2707.812,2708.537
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2709.972,2711.395
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2718.146,2719.481
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2725.488,2726.448
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2727.224,2727.783
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2728.49,2729.294
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2730.126,2730.825
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2731.726,2732.56
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2733.06,2733.762
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2734.435,2734.67
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2735.664,2736.431
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2737.807,2738.574
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,2739.534,2740.335
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Right,STATE,5767.437,5769.25
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5854.074,5854.544
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5855.248,5856.243
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5857.11,5857.879
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5867.722,5868.489
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5869.498,5870.095
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5872.126,5872.698
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5873.872,5874.128
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5875.003,5875.662
First Reaction T27,27/06/2017 12:00,FloM1,Feeding,Left,STATE,5876.495,5876.93
