date,trial,test,type,type_detail,feed,attack,tail,court,cop
29-Mar-17,25,F/MLF,Ama,Ama,0,0,0,0,0
30-Mar-17,26,F/MLF,Ama,Ama,0,0,0,0,0
31-Mar-17,27,F/MLF,Ama,Ama,F,MLF,F,0,0
5-Apr-17,29,F/MLF,Ama,Ama,0,0,0,0,0
7-Apr-17,31,F/MLF,Ama,Ama,F,F,F,0,0
12-Apr-17,33,F/MLF,Ama,Ama,F,0,0,0,0
18-Apr-17,35,F/MLF,Ama,Ama,MLF,MLF,F,0,0
21-Apr-17,38(2?),F/MLF,Ama,Ama,MLF,0,0,0,0
27-Apr-17,41,F/MLF,Ama,Ama,F,0,0,0,0
2-May-17,44(2?),F/MLF,Ama,Ama,F,0,0,0,0
8-May-17,47,F/MLF,Ama,Ama,F,F,0,0,0
11-May-17,49,F/MLF,Ama,Ama,MLF,0,F,0,0
16-May-17,54,F/MLF,Ama,Ama,F,F,MLF,0,0
19-May-17,57 also?,F/MLF,Ama,Ama,F,0,0,0,0
22-May-17,60,F/MLF,Ama,Ama,F,0,F,0,0
27-May-17,63,F/MLF,Ama,Ama,F,F,F,0,0
1-Jun-17,66,F/MLF,Ama,Ama,F,0,0,0,0
4-Jun-17,69,F/MLF,Ama,Ama,F,0,0,0,0
19-Mar-18,02-2018,F/MLF,Ama,Ama,MLF,0,F,0,0
22-Mar-18,05-2018,F/MLF,Ama,Ama,F,F,0,0,0
27-Mar-18,08-2018,F/MLF,Ama,Ama,0,0,0,0,0
30-Mar-18,11-2018,F/MLF,Ama,Ama,F,F,0,0,0
4-Apr-18,14-2018,F/MLF,Ama,Ama,F,F,F,0,0
7-Apr-18,17-2018,F/MLF,Ama,Ama,0,0,0,0,0
12-Apr-18,20-2018,F/MLF,Ama,Ama,0,0,0,0,0
15-Apr-18,23-2018,F/MLF,Ama,Ama,0,0,0,0,0
18-Apr-18,26-2018,F/MLF,Ama,Ama,F,F,F,0,0
22-Apr-18,29-2018,F/MLF,Ama,Ama,F,F,F,0,0
1/03/2019,03-2019,F/MLF,Ama,Ama,MLF,0,F,0,0
5/03/2019,06-2019,F/MLF,Ama,Ama,MLF,0,MLF,0,0
20/03/2019,14-2019,F/MLF,Ama,Ama,0,0,0,0,0
20/03/2019,15-2019,F/MLF,Ama,Ama,0,0,0,0,0
25/03/2019,19-2019,F/MLF,Ama,Ama,F,0,0,0,0
25/03/2019,20-2019,F/MLF,Ama,Ama,0,0,0,0,0
28/03/2019,23-2019,F/MLF,Ama,Ama,F,0,0,0,0
28/03/2019,24-2019,F/MLF,Ama,Ama,0,0,0,0,0
19/04/2019,37-2019,F/MLF,Ama,Ama,0,0,0,0,0
19/04/2019,38-2019,F/MLF,Ama,Ama,0,0,0,0,0
25/04/2019,39-2019,F/MLF,Ama,Ama,MLF,F,0,0,0
25/04/2019,40-2019,F/MLF,Ama,Ama,F,0,F,0,0
SECOND FROM 18-APR-2017,35,F/MLF,Ama,Ama,0,0,0,0,0
SECOND FROM 2019-03-2019,14-2019,F/MLF,Ama,Ama,0,0,0,0,0
SECOND FROM 25/03/2019,19-2019,F/MLF,Ama,Ama,0,0,0,0,0
24-Mar-17,23,M/F,Ama,Ama,0,0,0,0,0
25-Mar-17,23(2),M/F,Ama,Ama,0,0,0,0,0
28-Mar-17,24,M/F,Ama,Ama,F,0,0,0,0
6-Apr-17,30,M/F,Ama,Ama,M,0,0,0,0
13-Apr-17,34,M/F,Ama,Ama,F,0,0,0,0
20-Apr-17,37,M/F,Ama,Ama,F,,M,0,0
24-Apr-17,38,M/F,Ama,Ama,M,0,0,0,0
26-Apr-17,40,M/F,Ama,Ama,0,0,0,0,0
1-May-17,43,M/F,Ama,Ama,F,0,0,0,0
4-May-17,46,M/F,Ama,Ama,M,0,M,0,0
10-May-17,48,M/F,Ama,Ama,0,0,0,0,0
14-May-17,52,M/F,Ama,Ama,0,0,0,0,0
15-May-17,?,M/F,Ama,Ama,M,M,0,0,0
18-May-17,56,M/F,Ama,Ama,M,0,0,0,0
21-May-17,59,M/F,Ama,Ama,M,0,0,0,0
24-May-17,62,M/F,Ama,Ama,F,M,0,0,0
31-May-17,?,M/F,Ama,Ama,M,0,0,0,0
3-Jun-17,68,M/F,Ama,Ama,F,0,F,0,0
16-Mar-18,01-2018,M/F,Ama,Ama,F,F,F,0,0
21-Mar-18,04-2018,M/F,Ama,Ama,F,0,F,0,0
26-Mar-18,07-2018,M/F,Ama,Ama,F,F,M,0,0
29-Mar-18,10-2018,M/F,Ama,Ama,0,0,F,0,0
3-Apr-18,13-2018,M/F,Ama,Ama,M,0,F,0,0
6-Apr-18,16-2018,M/F,Ama,Ama,M,0,0,0,0
11-Apr-18,19-2018,M/F,Ama,Ama,F,0,F,0,0
14-Apr-18,22-2018,M/F,Ama,Ama,F,0,0,0,0
17-Apr-18,25-2018,M/F,Ama,Ama,F,F,F,0,0
