Obs_id,Obs_date,Left,Right
First Reaction T27,27/06/2017 12:00,MLF,F
First Reaction T32,7/07/2017 11:00,M,MLF
First Reaction T40,27/07/2017 13:14,F,M
First Reaction t41,6/07/2017 13:10,F,MLF
First Reaction T42,30/06/2017 17:35,MLF,M
First Reaction T47,2/07/2017 18:58,F,MLF
First Reaction T63,1/07/2017 08:30,F,MLF
First Reaction T66,6/07/2017 11:30,F,MLF
First Reaction Trail 44,27/08/2017 15:07,MLF,F
First Reaction Trial 22,16/08/2017 15:21,F,MLF
First Reaction Trial 23,14/04/2017 21:24,F,M
First Reaction Trial 24 28-Mar-2017,14/04/2017 22:26,F,M
First Reaction Trial 25,27/08/2017 16:41,MLF,F
First Reaction Trial 30,30/08/2017 11:17,M,F
First Reaction Trial 31,16/08/2017 17:22,F,MLF
First Reaction Trial 34,12/09/2017 17:27,M,F
First Reaction Trial 38,31/08/2017 11:31,F,M
First Reaction Trial 38 (there are accidently 2 38s),1/09/2017 12:14,MLF,F
First Reaction Trial 39,9/08/2017 15:22,M,MLF
First Reaction Trial 45,25/08/2017 16:05,M,MLF
First Reaction Trial 46,24/08/2017 10:55,F,M
First Reaction Trial 50,7/08/2017 14:03,MLF,F
First Reaction Trial 51,18/08/2017 17:32,MLF,M
First Reaction Trial 62,14/08/2017 10:57,M,F
First Reaction Trial 67,28/08/2017 12:49,MLF,M
First Reaction Trial 68,8/08/2017 16:41,M,F
